Concelho,Neighboring_Concelhos
Tábua,"['Arganil', 'Oliveira do Hospital', 'Penacova', 'Carregal do Sal', 'Santa Comba Dão']"
Vila Nova de Poiares,"['Arganil', 'Coimbra', 'Lousã', 'Miranda do Corvo', 'Penacova']"
Albufeira,"['Loulé', 'Silves']"
Alcoutim,"['Almodôvar', 'Mértola', 'Tavira', 'Castro Marim', 'Loulé']"
Tavira,"['Alcoutim', 'Castro Marim', 'Loulé', 'Olhão', 'São Brás de Alportel', 'Vila Real de Santo António']"
Aljezur,"['Odemira', 'Lagos', 'Monchique', 'Vila do Bispo']"
Castro Marim,"['Alcoutim', 'Tavira', 'Vila Real de Santo António']"
Faro,"['Loulé', 'Olhão', 'São Brás de Alportel']"
Lagoa,"['Portimão', 'Silves']"
Lagos,"['Aljezur', 'Monchique', 'Portimão', 'Vila do Bispo']"
Loulé,"['Almodôvar', 'Albufeira', 'Alcoutim', 'Tavira', 'Faro', 'São Brás de Alportel', 'Silves']"
Monchique,"['Odemira', 'Aljezur', 'Lagos', 'Portimão', 'Silves']"
Olhão,"['Tavira', 'Faro', 'São Brás de Alportel']"
Portimão,"['Lagoa', 'Lagos', 'Monchique', 'Silves']"
São Brás de Alportel,"['Tavira', 'Faro', 'Loulé', 'Olhão']"
Silves,"['Almodôvar', 'Odemira', 'Ourique', 'Albufeira', 'Lagoa', 'Loulé', 'Monchique', 'Portimão']"
Vila do Bispo,"['Aljezur', 'Lagos']"
Vila Real de Santo António,"['Tavira', 'Castro Marim']"
Aguiar da Beira,"['Fornos de Algodres', 'Trancoso', 'Penalva do Castelo', 'Sátão', 'Sernancelhe']"
Almeida,"['Figueira de Castelo Rodrigo', 'Guarda', 'Pinhel', 'Sabugal']"
Celorico da Beira,"['Fornos de Algodres', 'Gouveia', 'Guarda', 'Pinhel', 'Trancoso']"
Figueira de Castelo Rodrigo,"['Freixo de Espada à Cinta', 'Almeida', 'Pinhel', 'Vila Nova de Foz Côa']"
Fornos de Algodres,"['Aguiar da Beira', 'Celorico da Beira', 'Gouveia', 'Trancoso', 'Mangualde', 'Penalva do Castelo']"
Gouveia,"['Celorico da Beira', 'Fornos de Algodres', 'Guarda', 'Manteigas', 'Seia', 'Mangualde']"
Guarda,"['Belmonte', 'Covilhã', 'Almeida', 'Celorico da Beira', 'Gouveia', 'Manteigas', 'Pinhel', 'Sabugal']"
Mêda,"['Pinhel', 'Trancoso', 'Vila Nova de Foz Côa', 'Penedono', 'Sernancelhe']"
Manteigas,"['Covilhã', 'Gouveia', 'Guarda', 'Seia']"
Pinhel,"['Almeida', 'Celorico da Beira', 'Figueira de Castelo Rodrigo', 'Guarda', 'Mêda', 'Trancoso', 'Vila Nova de Foz Côa']"
Sabugal,"['Belmonte', 'Fundão', 'Penamacor', 'Almeida', 'Guarda']"
